name,cbs_code,province,found,slug,url,final_url,title,status,reason,candidates_tried
Aalsmeer,0358,Noord-Holland,False,aalsmeer,https://aalsmeer.incijfers.nl/Dashboard,https://aalsmeer.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,aalsmeer
Alkmaar,0361,Noord-Holland,True,alkmaar,https://alkmaar.incijfers.nl/Dashboard,https://alkmaar.incijfers.nl/Dashboard,Alkmaar in Cijfers - Alkmaar,200,ok,alkmaar
Amstelveen,0362,Noord-Holland,True,amstelveen,https://amstelveen.incijfers.nl/Dashboard,https://amstelveen.incijfers.nl/Dashboard,Amstelveen in Cijfers - Amstelveen,200,ok,amstelveen
Amsterdam,0363,Noord-Holland,True,amsterdam,https://amsterdam.incijfers.nl/Dashboard,https://amsterdam.incijfers.nl/Dashboard,Amsterdam in Cijfers - Amsterdam,200,ok,amsterdam
Bergen,0373,Noord-Holland,False,bergen,https://bergen.incijfers.nl/Dashboard,https://bergen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,bergen
Beverwijk,0375,Noord-Holland,True,beverwijk,https://beverwijk.incijfers.nl/Dashboard,https://ijmond.incijfers.nl/dashboard?regionlevel=gemeente&regioncode=375,IJmond in Cijfers - Beverwijk,200,ok,beverwijk
Blaricum,0376,Noord-Holland,False,blaricum,https://blaricum.incijfers.nl/Dashboard,https://blaricum.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,blaricum
Bloemendaal,0377,Noord-Holland,False,bloemendaal,https://bloemendaal.incijfers.nl/Dashboard,https://bloemendaal.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,bloemendaal
Castricum,0383,Noord-Holland,False,castricum,https://castricum.incijfers.nl/Dashboard,https://castricum.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,castricum
Den Helder,0400,Noord-Holland,True,denhelder,https://denhelder.incijfers.nl/Dashboard,https://denhelder.incijfers.nl/Dashboard,Den Helder in Cijfers - Den Helder,200,ok,den-helder denhelder
Diemen,0384,Noord-Holland,False,diemen,https://diemen.incijfers.nl/Dashboard,https://diemen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,diemen
